id;node_sn;timestamp;GPS_lat;GPS_lon;GPS_alt;GPS_speed;GPS_num_sats;ACC_x_RMS;ACC_y_RMS;ACC_z_RMS;ACC_x_MEAN;ACC_y_MEAN;ACC_z_MEAN;ACC_samples;MAG_x_RMS;MAG_y_RMS;MAG_z_RMS;MAG_x_MEAN;MAG_y_MEAN;MAG_z_MEAN;MAG_samples;temperature;is_anomaly;raw_MSE;score
1;22;03/03/2022 08:29;4.524.531.936.645.500;19.846.479.415.893.500;-11;0;3;0;0;0;0.459844;0;-104.231;1;0;0;0;37;18;1;1;210.319;NULL;NULL;NULL
2;22;03/03/2022 09:27;45.244.930.267.333.900;19.847.810.745.239.200;93;0;4;0;0;0;0.153281;-0.153281;-996.328;1;0;0;0;37;18;1;1;297.105;NULL;NULL;NULL
3;22;03/03/2022 10:27;45.245.059.967.041.000;19.847.789.764.404.200;77;0;3;0;0;0;0.153281;0;-102.698;1;0;0;0;37;18;1;1;166.339;NULL;NULL;NULL
4;22;03/03/2022 11:28;45.245.059.967.041.000;19.847.909.927.368.100;78;0;3;0;0;0;0.459844;0;-102.698;1;0;0;0;37;18;1;1;876.173;NULL;NULL;NULL
5;22;03/03/2022 12:28;4.524.441.909.790.030;1.984.654.998.779.290;20;0;3;0;0;0;0.613125;0;-101.166;1;0;0;0;37;18;1;1;874.037;NULL;NULL;NULL
6;22;03/03/2022 13:29;45.244.998.931.884.700;1.984.769.058.227.530;53;0;4;0;0;0;0.306563;0;-104.231;1;0;0;0;37;18;1;1;873.236;NULL;NULL;NULL
7;22;03/03/2022 14:30;4.524.509.811.401.360;1.984.779.930.114.740;63;0;3;0;0;0;0.459844;-0.153281;-104.231;1;0;0;0;37;18;1;1;859.083;NULL;NULL;NULL
8;22;03/03/2022 15:31;45.244.998.931.884.700;19.847.810.745.239.200;72;0;5;0;0;0;0.306563;0;-996.328;1;0;0;0;37;18;1;1;833.181;NULL;NULL;NULL
9;22;03/03/2022 16:31;4.524.507.141.113.280;1.984.800.910.949.700;104;0;3;0;0;0;0.459844;-0.153281;-101.166;1;0;0;0;37;18;1;1;828.908;NULL;NULL;NULL
10;22;03/03/2022 17:32;4.524.515.151.977.530;19.848.060.607.910.100;104;0;4;0;0;0;0.613125;0;-104.231;1;0;0;0;37;18;1;1;632.906;NULL;NULL;NULL
11;22;03/03/2022 18:33;4.524.502.182.006.830;19.848.079.681.396.400;99;0;4;0;0;0;0.766406;-0.153281;-105.764;1;0;0;0;37;18;1;1;453.994;NULL;NULL;NULL
12;22;03/03/2022 19:34;4.524.462.890.625;19.847.740.173.339.800;46;0;3;0;0;0;0.613125;0;-104.231;1;0;0;0;37;18;1;1;309.797;NULL;NULL;NULL
13;22;03/03/2022 20:35;4.524.502.182.006.830;1.984.760.093.688.960;73;0;3;0;0;0;0.459844;-0.153281;-104.231;1;0;0;0;37;18;1;1;204.853;NULL;NULL;NULL
14;22;03/03/2022 21:36;4.524.504.089.355.460;19.848.209.381.103.500;96;0;3;0;0;0;0.613125;-0.153281;-996.328;1;0;0;0;37;18;1;1;121.004;NULL;NULL;NULL
15;22;03/03/2022 22:37;4.524.509.048.461.910;19.848.909.378.051.700;131;0;2;0;0;0;0.766406;0;-102.698;1;0;0;0;37;18;1;1;143.702;NULL;NULL;NULL
16;22;03/03/2022 23:39;4.524.504.089.355.460;1.984.786.033.630.370;74;0;4;0;0;0;0.459844;-0.306563;-104.231;1;0;0;0;37;18;1;1;164.797;NULL;NULL;NULL
17;22;04/03/2022 00:39;4.524.496.078.491.210;19.848.459.243.774.400;92;0;4;0;0;0;0.459844;0;-104.231;1;0;0;0;37;18;1;1;0.0404358;NULL;NULL;NULL
18;22;04/03/2022 01:41;4.524.515.151.977.530;19.848.159.790.039.000;115;0;4;0;0;0;0.919688;0;-107.297;1;0;0;0;37;18;1;1;-0.960938;NULL;NULL;NULL
19;22;04/03/2022 02:42;45.245.269.775.390.600;1.984.823.989.868.160;114;0;3;0;0;0;0.459844;-0.153281;-105.764;1;0;0;0;37;18;1;1;-133.211;NULL;NULL;NULL
20;22;04/03/2022 03:43;4.524.501.037.597.650;19.847.959.518.432.600;96;0;4;0;0;0;0.613125;0;-105.764;1;0;0;0;37;18;1;1;-164.988;NULL;NULL;NULL
21;22;04/03/2022 04:44;4.524.504.852.294.920;19.847.740.173.339.800;90;0;3;0;0;0;0.306563;-0.153281;-104.231;1;0;0;0;37;18;1;1;-19.543;NULL;NULL;NULL
22;22;04/03/2022 05:46;45.245.140.075.683.500;19.847.850.799.560.500;71;0;3;0;0;0;0.613125;-0.153281;-101.166;1;0;0;0;37;18;1;1;-150.301;NULL;NULL;NULL
23;22;04/03/2022 06:47;4.524.504.852.294.920;19.848.079.681.396.400;101;0;4;0;0;0;0.613125;-0.153281;-102.698;1;0;0;0;37;18;1;1;-0.397499;NULL;NULL;NULL
24;22;04/03/2022 07:48;45.244.991.302.490.200;19.847.980.499.267.500;88;0;4;0;0;0;0.306563;-0.153281;-101.166;1;0;0;0;37;18;1;1;151.038;NULL;NULL;NULL
25;22;04/03/2022 08:48;4.524.509.811.401.360;19.846.939.086.914.000;18;0;4;0;0;0;0.306563;0;-102.698;1;0;0;0;37;18;1;1;201.587;NULL;NULL;NULL
